seed,scaling,start_idx,gCa0,ECa0,gCa_hat,ECa_hat,chi2,bfgs_ok
11110,raw,1,1.0,60.0,1.915397756828867,128.82222301505476,1003.4146352743202,true
11110,raw,2,0.5,200.0,1.9153977568280667,128.8222230151318,1003.4146352755668,true
11110,raw,3,3.0,80.0,1.9153977568287701,128.82222301506812,1003.4146352772062,true
12221,normalised,1,1.0,60.0,1.849589394861627,135.35848036592245,840.2764583419491,true
12221,normalised,2,0.5,200.0,1.8495893948629116,135.35848036577733,840.2764583412495,true
12221,normalised,3,3.0,80.0,1.8495893948617028,135.35848036591184,840.2764583422843,true
12221,raw,1,1.0,60.0,1.849589359151048,135.35848399194435,840.2764583420419,true
12221,raw,2,0.5,200.0,1.8495893591506327,135.35848399199534,840.2764583420823,true
12221,raw,3,3.0,80.0,1.8495893591510764,135.3584839919468,840.2764583405755,true
13332,normalised,1,1.0,60.0,1.8697915421419264,133.78252582845522,896.3503584818053,true
13332,normalised,2,0.5,200.0,1.8697915421421485,133.7825258284304,896.350358479818,true
13332,normalised,3,3.0,80.0,1.8697915421384348,133.78252582883462,896.350358480848,true
13332,raw,1,1.0,60.0,1.8697914767737716,133.78253249888186,896.3503584800922,true
13332,raw,2,0.5,200.0,1.869791476771512,133.7825324991256,896.3503584786998,true
13332,raw,3,3.0,80.0,1.8697914767716843,133.78253249911222,896.3503584800515,true
14443,normalised,1,1.0,60.0,1.8302199249537208,138.23064046972544,904.4311800942531,true
14443,normalised,2,0.5,200.0,1.8302199249521631,138.23064046989472,904.4311800942611,true
14443,normalised,3,3.0,80.0,1.8302199249527118,138.2306404698362,904.4311800943129,true
14443,raw,1,1.0,60.0,1.8302199028724602,138.23064293773342,904.4311800943183,true
14443,raw,2,0.5,200.0,1.830219902872703,138.230642937704,904.4311800943123,true
14443,raw,3,3.0,80.0,1.830219902873678,138.23064293759032,904.4311800943412,true
15554,normalised,1,1.0,60.0,1.8957118635929135,130.91719001307615,946.8260438911143,true
15554,normalised,2,0.5,200.0,1.8957118635989316,130.91719001243007,946.826043891943,true
15554,normalised,3,3.0,80.0,1.8957118636000463,130.91719001231596,946.8260438902433,true
15554,raw,1,1.0,60.0,1.895711821375967,130.91719429160565,946.8260438909056,true
15554,raw,2,0.5,200.0,1.8957118213765718,130.91719429153642,946.826043890237,true
15554,raw,3,3.0,80.0,1.8957118213763142,130.9171942915711,946.8260438910386,true
16665,normalised,1,1.0,60.0,2.065259573617133,113.78313776743319,864.3474469611939,true
16665,normalised,2,0.5,200.0,2.0652595736483206,113.78313776446684,864.347446961223,true
16665,normalised,3,3.0,80.0,2.065259573631907,113.7831377659545,864.3474469611639,true
16665,raw,1,1.0,60.0,2.0652595175796837,113.78314244932557,864.3474469616508,true
16665,raw,2,0.5,200.0,2.0652595175779287,113.78314244948594,864.3474469618418,true
16665,raw,3,3.0,80.0,2.0652595175762967,113.78314244963741,864.3474469608392,true
17776,normalised,1,1.0,60.0,2.0237680095425814,118.00033716556398,893.3548528068538,true
17776,normalised,2,0.5,200.0,2.023768009553618,118.00033716445297,893.3548528069249,true
17776,normalised,3,3.0,80.0,2.0237680095542157,118.00033716430423,893.3548528067913,true
17776,raw,1,1.0,60.0,2.023767984662826,118.00033933304141,893.3548528069211,true
17776,raw,2,0.5,200.0,2.0237679846660983,118.00033933272778,893.3548528067458,true
17776,raw,3,3.0,80.0,2.0237679846653154,118.0003393328001,893.3548528067051,true
18887,normalised,1,1.0,60.0,1.7240415840841428,151.09417536620742,872.2358867457059,true
18887,normalised,2,0.5,200.0,1.7240415840835215,151.09417536629078,872.2358867460322,true
18887,normalised,3,3.0,80.0,1.7240415840834455,151.09417536630008,872.2358867463413,true
18887,raw,1,1.0,60.0,1.724041584339097,151.09417534745612,872.2358867465811,true
18887,raw,2,0.5,200.0,1.7240415843400585,151.09417534732646,872.2358867448427,true
18887,raw,3,3.0,80.0,1.724041584338928,151.09417534748184,872.2358867447206,true
19998,normalised,1,1.0,60.0,1.9886474467525281,120.99919307017177,880.9081152281752,true
19998,normalised,2,0.5,200.0,1.9886474467506705,120.99919307035006,880.9081152271402,true
19998,normalised,3,3.0,80.0,1.9886474467503377,120.99919307039349,880.9081152289505,true
19998,raw,1,1.0,60.0,1.9886474211537881,120.99919529384039,880.9081152283817,true
19998,raw,2,0.5,200.0,1.988647421152921,120.99919529392626,880.9081152266369,true
19998,raw,3,3.0,80.0,1.9886474211544516,120.99919529377831,880.9081152269198,true
21109,normalised,1,1.0,60.0,2.1646309653851996,105.06025770406393,889.9465958608141,true
21109,normalised,2,0.5,200.0,2.1646309653871136,105.06025770389998,889.9465958592318,true
21109,normalised,3,3.0,80.0,2.1646309653869293,105.06025770391476,889.9465958592306,true
21109,raw,1,1.0,60.0,2.1646309239773927,105.06026088963206,889.9465958607975,true
21109,raw,2,0.5,200.0,2.16463092397797,105.06026088957753,889.9465958610531,true
21109,raw,3,3.0,80.0,2.1646309239774295,105.06026088961445,889.9465958598349,true
22220,normalised,1,1.0,60.0,1.7188675716203512,151.37584628491845,913.4753243701805,true
22220,normalised,2,0.5,200.0,1.718867571620911,151.37584628484134,913.4753243688542,true
22220,normalised,3,3.0,80.0,1.7188675716204072,151.37584628490626,913.4753243689714,true
22220,raw,1,1.0,60.0,1.7188675729104883,151.37584610520216,913.4753243692024,true
22220,raw,2,0.5,200.0,1.7188675729098708,151.37584610528478,913.4753243691049,true
22220,raw,3,3.0,80.0,1.7188675729106029,151.37584610519028,913.4753243696213,true
23331,normalised,1,1.0,60.0,1.9853418691064821,121.08458069762975,891.3856266530983,true
23331,normalised,2,0.5,200.0,1.9853418691215114,121.08458069613266,891.3856266523075,true
23331,normalised,3,3.0,80.0,1.9853418690920073,121.08458069908068,891.3856266520693,true
23331,raw,1,1.0,60.0,1.9853418360038542,121.08458362278354,891.3856266531191,true
23331,raw,2,0.5,200.0,1.9853418360045296,121.08458362271442,891.3856266527611,true
23331,raw,3,3.0,80.0,1.9853418360039785,121.08458362277143,891.3856266535322,true
