gCa_true,seed,gCa,ECa,sse_full,sse_v,chi2
2.0,1111,0.1,30.0,17157.86062943863,17154.811458414133,209425.37151723274
2.0,1111,0.1,33.0,17138.456589805704,17135.411176544665,209162.59810008298
2.0,1111,0.1,36.0,17119.049832903842,17116.008176710377,208899.88095387144
2.0,1111,0.1,39.0,17099.6403865319,17096.602486708827,208637.22025067243
2.0,1111,0.1,42.0,17080.228252039135,17077.194107884272,208374.61614564847
2.0,1111,0.1,45.0,17060.813452949114,17057.783063758692,208112.06880204432
2.0,1111,0.1,48.0,17041.396003866794,17038.36936892455,207849.57882829223
2.0,1111,0.1,51.0,17021.975922813657,17018.95304142143,207587.14544991005
2.0,1111,0.1,54.0,17002.553221517508,16999.534092962538,207324.76931575537
2.0,1111,0.1,57.0,16983.127930365838,16980.112553935094,207062.4505821269
2.0,1111,0.1,60.0,16963.70017673373,16960.68855170415,206800.18986359003
2.0,1111,0.1,63.0,16944.269764715908,16941.26189037124,206537.98658396953
2.0,1111,0.1,66.0,16924.836817979936,16921.83269359777,206275.84124273353
2.0,1111,0.1,69.0,16905.40136584632,16902.400990700135,206013.75408997937
2.0,1111,0.1,72.0,16885.963395267583,16882.96676862949,205751.72513216885
2.0,1111,0.1,75.0,16866.522945458666,16863.530066597814,205489.75462799234
2.0,1111,0.1,78.0,16847.079951437634,16844.090819623656,205227.84246614762
2.0,1111,0.1,81.0,16827.634639717144,16824.649254210064,204965.98953499141
2.0,1111,0.1,84.0,16808.186901429937,16805.205261490133,204704.19555975913
2.0,1111,0.1,87.0,16788.736785289813,16785.758890178604,204442.46075027008
2.0,1111,0.1,90.0,16769.28428072705,16766.310129696678,204180.78531086797
2.0,1111,0.1,93.0,16749.829426726097,16746.859019028616,203919.16942474723
2.0,1111,0.1,96.0,16730.372252129935,16727.405587019406,203657.61318944165
2.0,1111,0.1,99.0,16710.912771391682,16707.949848112174,203396.11694348525
2.0,1111,0.1,102.0,16691.45100667242,16688.491824468114,203134.6807954976
2.0,1111,0.1,105.0,16671.986985833668,16669.031543945737,202873.30495659626
2.0,1111,0.1,108.0,16652.52073470137,16649.56903236815,202611.98962806238
2.0,1111,0.1,111.0,16633.05227616655,16630.104312623513,202350.73499756242
2.0,1111,0.1,114.0,16613.58163307436,16610.63740755424,202089.5412518103
2.0,1111,0.1,117.0,16594.1088290974,16591.168340830147,201828.40858188857
2.0,1111,0.1,120.0,16574.63388830811,16571.697136520823,201567.33718038688
2.0,1111,0.1,123.0,16555.156791441455,16552.223775358114,201306.3271617185
2.0,1111,0.1,126.0,16535.67765134012,16532.748370182853,201045.378878312
2.0,1111,0.1,129.0,16516.19645115763,16513.27090414503,200784.4924620901
2.0,1111,0.1,132.0,16496.713216819076,16493.791403166855,200523.6681139562
2.0,1111,0.1,135.0,16477.227974570516,16474.30989349155,200262.90603594648
2.0,1111,0.1,138.0,16457.740750601315,16454.826401305665,200002.2064289553
2.0,1111,0.1,141.0,16438.251571569148,16435.340953264033,199741.5694965899
2.0,1111,0.1,144.0,16418.760464418097,16415.85357630786,199480.99544448877
2.0,1111,0.1,147.0,16399.267456435737,16396.364297721844,199220.4844792184
2.0,1111,0.1,150.0,16379.77257541267,16376.873145293674,198960.0368100668
2.0,1111,0.1,153.0,16360.27584889217,16357.380146563706,198699.6526463109
2.0,1111,0.1,156.0,16340.777304592028,16337.885329246748,198439.33219848012
2.0,1111,0.1,159.0,16321.276970175553,16318.388721003112,198179.07567784266
2.0,1111,0.1,162.0,16301.774862540324,16298.89033872441,197918.88333117866
2.0,1111,0.1,165.0,16282.271035858335,16279.390236585117,197658.7553291391
2.0,1111,0.1,168.0,16262.765508841323,16259.88843329165,197398.69190834597
2.0,1111,0.1,171.0,16243.258311478952,16240.38495883081,197138.6932859149
2.0,1111,0.1,174.0,16223.749472329971,16220.879841757725,196878.75969230174
2.0,1111,0.1,177.0,16204.239022452739,16201.373113127964,196618.89134650954
2.0,1111,0.1,180.0,16184.726992732725,16181.864803824748,196359.088452908
2.0,1111,0.1,183.0,16165.213412478806,16162.354943153832,196099.35123187178
