gCa,ECa_hat,chi2,gCa_true,delta_chi2,within_95
4.0,-60.090108203887965,1937.9156090482238,0.4,995.8822834792394,false
4.0625,-60.39705162048342,1972.2183010878316,0.4,1030.1849755188473,false
4.125,-60.694765877723725,2007.1008371567377,0.4,1065.0675115877534,false
4.1875,-60.983702874183685,2042.563181107401,0.4,1100.5298555384165,false
4.25,-61.26422760486606,2078.6053414967005,0.4,1136.5720159277162,false
4.3125,-61.536670303344756,2115.227250126368,0.4,1173.1939245573835,false
4.375,-61.801482868194604,2152.4287906430122,0.4,1210.395465074028,false
4.4375,-62.05892601013186,2190.2100110541824,0.4,1248.176685485198,false
4.5,-62.30922567844394,2228.570998522215,0.4,1286.5376729532309,false
4.5625,-62.552799010276814,2267.511605440099,0.4,1325.4782798711149,false
4.625,-62.789889335632346,2307.0317053715335,0.4,1364.9983798025492,false
4.6875,-63.020705223083525,2347.1315590752524,0.4,1405.0982335062681,false
4.75,-63.24549000263217,2387.8108066920972,0.4,1445.777481123113,false
4.8125,-63.46453914642336,2429.069694533077,0.4,1487.0363689640926,false
4.875,-63.678048187494326,2470.9080489143116,0.4,1528.8747233453273,false
4.9375,-63.88621265888217,2513.3258787585546,0.4,1571.2925531895703,false
5.0,-64.08926720023159,2556.323169036316,0.4,1614.2898434673316,false
