gCa,ECa_hat,chi2,gCa_true,delta_chi2,within_95
3.5625,34.59646117687225,1087.392461013294,2.0,145.9677170736262,false
3.625,32.71852235794067,1098.3661876778347,2.0,156.94144373816687,false
3.6875,30.90414283275605,1109.7338000282707,2.0,168.30905608860292,false
3.75,29.15013525485992,1121.4949212580154,2.0,180.07017731834765,false
3.8125,27.453551483154307,1133.649161869722,2.0,192.2244179300543,false
3.875,25.811563563346866,1146.1961416765255,2.0,204.7713977368577,false
3.9375,24.221619009971626,1159.1354821505563,2.0,217.7107382108885,false
4.0,22.681281089782708,1172.4668048710337,2.0,231.04206093136588,false
4.0625,21.18821818828583,1186.1897325864113,2.0,244.76498864674352,false
4.125,19.740305829048154,1200.3038892938248,2.0,258.879145354157,false
4.1875,18.33553082942963,1214.8088958140306,2.0,273.38415187436283,false
4.25,16.97198839187623,1229.7043872804852,2.0,288.2796433408174,false
4.3125,15.647885322570799,1244.9899868059927,2.0,303.56524286632487,false
4.375,14.361501407623289,1260.6653229914273,2.0,319.2405790517595,false
4.4375,13.111286544799805,1276.7300256140363,2.0,335.30528167436853,false
4.5,11.895703792572021,1293.1837258009668,2.0,351.75898186129905,false
4.5625,10.713311386108396,1310.0260557857773,2.0,368.6013118461095,false
4.625,9.562873458862306,1327.256648738043,2.0,385.83190479837515,false
4.6875,8.442976307868959,1344.8751393025752,2.0,403.45039536290744,false
4.75,7.352469635009765,1362.881163069364,2.0,421.4564191296962,false
4.8125,6.290230846405031,1381.274356770494,2.0,439.84961283082623,false
4.875,5.255144977569582,1400.0543583863673,2.0,458.6296144466995,false
4.9375,4.246181392669678,1419.2208064727786,2.0,477.7960625331108,false
5.0,3.262367248535156,1438.7733415068394,2.0,497.3485975671716,false
