ECa,gCa_hat,chi2,gCa_true,delta_chi2,within_95
123.75,1.9582790017127993,941.7670196707327,2.0,0.3374994792854977,true
127.5,1.9218865831693015,941.5289624403018,2.0,0.09944224885464337,true
131.25,1.886820654074351,941.4295201914472,2.0,0.0,true
135.0,1.8530100822448732,941.4544381656125,2.0,0.024917974165305168,true
138.75,1.8203884422779084,941.5909588311047,2.0,0.16143863965749006,true
142.5,1.7888946294784547,941.8276151062191,2.0,0.3980949147719457,true
146.25,1.7584708631038668,942.1540948818881,2.0,0.7245746904409316,true
150.0,1.729063940048218,942.5611140439707,2.0,1.1315938525235651,true
153.75,1.7006232579549154,943.0403049267047,2.0,1.610784735257539,true
157.5,1.6731026967366538,943.5841181496609,2.0,2.154597958213685,true
161.25,1.6464572111765543,944.1857359950211,2.0,2.756215803573923,true
165.0,1.6206472396850586,944.8389960582018,2.0,3.409475866754633,true
168.75,1.5956327358881632,945.5383234343024,2.0,4.108803242855174,false
172.5,1.5713783264160157,946.2786708782099,2.0,4.849150686762755,false
176.25,1.5478498995304106,947.0554654561478,2.0,5.62594526470059,false
180.0,1.5250148852666219,947.8645612225673,2.0,6.435041031120136,false
183.75,1.5028438091278076,948.702197086442,2.0,7.272676894994788,false
187.5,1.481307280063629,949.5649590858209,2.0,8.135438894373692,false
191.25,1.460378897190094,950.4497469442775,2.0,9.020226752830354,false
195.0,1.4400334477424621,951.3537439064465,2.0,9.924223714999357,false
198.75,1.4202467918395996,952.2743898715622,2.0,10.844869680115039,false
202.5,1.4009963989257812,953.209357279535,2.0,11.779837088087788,false
206.25,1.382259843746821,954.1565293492154,2.0,12.72700915776818,false
210.0,1.3640182514985402,955.1139807506785,2.0,13.684460559231297,false
213.75,1.3462512592474618,956.079959941205,2.0,14.650439749757766,false
217.5,1.3289410571257272,957.0528734328481,2.0,15.623353241400878,false
221.25,1.3120701650778452,958.0312715155044,2.0,16.601751324057204,false
225.0,1.295621927579244,959.0138353392258,2.0,17.584315147778625,false
228.75,1.279581008354823,959.9993654008255,2.0,18.569845209378286,false
232.5,1.2639320453008018,960.9867706567888,2.0,19.557250465341667,false
236.25,1.2486609697341917,961.9750600477807,2.0,20.545539856333562,false
240.0,1.2337544043858846,962.9633324628595,2.0,21.53381227141233,false
243.75,1.2191993633906049,963.9507693328077,2.0,22.5212491413605,false
247.5,1.204983766873677,964.9366284791674,2.0,23.507108287720257,false
251.25,1.191095534960429,965.9202366677956,2.0,24.49071647634844,false
255.0,1.1775237957636517,966.9009828941245,2.0,25.471462702677286,false
258.75,1.1642576773961384,967.8783152979054,2.0,26.448795106458192,false
262.5,1.1512867212295534,968.8517345829309,2.0,27.42221439148375,false
266.25,1.1386019945144654,969.8207899361236,2.0,28.39126974467638,false
270.0,1.126193505525589,970.7850751377466,2.0,29.355554946299435,false
273.75,1.1140512466430665,971.7442249798078,2.0,30.314704788360586,false
277.5,1.1021700084209445,972.6979104348615,2.0,31.268390243414274,false
281.25,1.0905385494232176,973.6458385759788,2.0,32.21631838453163,false
285.0,1.079150152206421,974.5877467299434,2.0,33.15822653849625,false
288.75,1.0679965913295748,975.5234012897761,2.0,34.09388109832889,false
292.5,1.057071286439896,976.4525952220986,2.0,35.0230750306514,false
296.25,1.046367245912552,977.375145706922,2.0,35.94562551547483,false
300.0,1.0358777523040772,978.2908922210871,2.0,36.86137202963994,false
