seed,domain,n,a_hat,b_hat,Erev,r2_vs_true_on_domain,r2_vs_nn_on_domain,cond,a_sanity_true_current,b_sanity_true_current,objective,init_seed,data_seed,on_diagonal
5555,traj-train,154,1.5908693175852322,-260.77508892861647,163.91986824187728,0.9977259922828984,0.9964679446651479,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,5555,5555,True
1111,traj-train,154,1.2408727938278845,-286.6829202664507,231.03328696737879,0.9891037225640882,0.9965494297485312,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,1111,1111,True
2222,traj-train,154,3.2802661708692775,-161.2733199683547,49.16470541340764,0.9690116167472193,0.983837845303612,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,1111,2222,False
3333,traj-train,154,1.704489350805879,-245.4338212563124,143.9925812034389,0.997736457025109,0.9890777523981354,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,1111,3333,False
4444,traj-train,154,2.1120811422510846,-238.94343719832855,113.13175067869761,0.9995367537869883,0.999101344980333,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,1111,4444,False
5555,traj-train,154,1.19576149268294,-286.24378311554784,239.38200457793658,0.9894073494320825,0.9790533327060102,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,1111,5555,False
1111,traj-train,154,2.3383696936919085,-216.46036545986092,92.56892357260452,0.9970225864459995,0.9845105047551695,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,2222,1111,False
2222,traj-train,154,2.8156936899025493,-187.4886248396231,66.58701033851166,0.9859367588335782,0.9759840749352446,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,2222,2222,True
3333,traj-train,154,1.6140696603079105,-251.3461955328116,155.72202471413976,0.9974777108488717,0.9734460499418373,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,2222,3333,False
4444,traj-train,154,0.9760234792920015,-308.1947607026164,315.76572412599955,0.975794155252215,0.9689143994896361,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,2222,4444,False
5555,traj-train,154,1.02147270286303,-296.1751857108061,289.9491928474181,0.9843673257979562,0.9813794961785454,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,2222,5555,False
1111,traj-train,154,2.0762318824883295,-232.88255763710904,112.16596739570494,0.9996375719318247,0.977123066825387,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,3333,1111,False
2222,traj-train,154,1.7749590085496851,-250.68059123859274,141.23176368079805,0.9993474483673715,0.9932137668586819,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,3333,2222,False
3333,traj-train,154,1.6069302095965408,-253.6281571311847,157.8339591953183,0.9977781813600193,0.9872253365737076,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,3333,3333,True
4444,traj-train,154,0.8640050191466826,-315.42054315664694,365.0679523461169,0.9704530137230962,0.9710488831978745,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,3333,4444,False
5555,traj-train,154,1.330248540423449,-277.5186245814409,208.62163433992592,0.9930006839203072,0.9643513190453202,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,3333,5555,False
1111,traj-train,154,1.5080103550066892,-271.41260568606293,179.98059813379663,0.9949888734198814,0.9968884401704455,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,4444,1111,False
2222,traj-train,154,2.785520201308868,-189.10771733527164,67.8895515625459,0.9867444510818545,0.9863412803648579,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,4444,2222,False
